,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr,tail_bend_amplitude
0,19.9581435018,26.0119168185,45.9700603203,53.9554152408,-0.0186524688309,338.5,200.5,0.0,3.40344954113
1,18.874259826,26.4126876967,45.2869475227,53.8747357997,-0.00963891579055,334.5,201.5,-0.7,2.58690547943
2,19.595459562,26.0798584001,45.6753179621,53.8975919325,0.000706093941939,337.5,200.5,-0.1,2.7742773113
3,20.0094353294,24.5881292473,44.5975645767,53.9441255807,-0.0363264456972,335.0,200.5,0.0,2.64835760049
4,19.5985127351,25.2381411359,44.836653871,53.8621528966,-0.0455290754884,340.5,200.5,0.0,2.58690547943
5,19.3855117234,25.7724202334,45.1579319569,53.8265412208,0.0263364210546,336.5,198.0,0.7,2.64835760049
6,19.2905042329,25.0706131187,44.3611173516,53.9011224023,-0.0169511526565,333.5,200.0,0.1,2.78653356949
7,19.8777835898,25.4129531325,45.2907367223,53.7624933522,0.0153801992827,338.5,200.5,0.2,2.50041056438
8,18.8813686066,25.6831437113,44.5645123179,53.6345075192,0.0340296501469,338.5,200.5,0.0,2.58690547943
9,19.0995882584,25.2531713421,44.3527596005,53.9582233261,-0.00768289054319,337.0,201.5,-0.2,2.58690547943
10,19.1701641105,26.1565256861,45.3266897965,53.816366639,0.0152575249905,341.5,200.5,-0.1,2.64835760049
11,21.2304574131,25.9540915136,47.1845489266,53.8393943486,0.00586719128266,339.0,201.5,-0.2,2.4841593628
12,20.1187898833,25.5344953421,45.6532852254,53.8046557699,0.0301661490328,338.5,200.5,0.0,2.64835760049
13,18.9898279375,25.2196215936,44.2094495311,53.9198088733,-0.00310898165011,335.0,200.5,0.2,2.78653356949
14,18.8799299724,25.5722548388,44.4521848112,53.8926542639,0.00532243582475,336.5,200.0,0.3,2.71020310017
15,18.8554436928,24.3771018683,43.2325455611,53.868730305,0.0157886740441,334.5,200.5,0.2,2.7742773113
16,19.6388023211,26.1436846002,45.7824869213,53.9554865151,-0.0218612915281,339.5,200.5,0.2,2.64835760049
17,19.1430125391,25.6681497185,44.8111622575,53.9042639651,-0.0388716797752,340.0,201.5,0.0,2.64835760049
