,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr
0,20.5685075338,12.0508916678,32.6193992016,60.4168619303,-0.00307608558935,352.0,297.5,-0.1
1,20.5632923714,11.7982191122,32.3615114836,60.4302160071,-0.00856978415956,355.5,298.0,-0.2
2,20.5515033701,12.7349790212,33.2864823913,60.3671802003,0.0176617045028,349.5,297.5,0.3
3,20.7429476109,12.3215039303,33.0644515412,60.4646751199,-0.0258680108981,351.5,295.0,1.9
4,20.1919506739,13.2708793018,33.4628299757,60.4014815024,-0.0377657988251,348.5,297.0,1.6
5,20.7180032365,12.6791924826,33.3971957191,60.3873670863,0.00190263370887,352.5,297.0,1.3
6,20.8904996651,12.8231248436,33.7136245088,60.4554887228,-0.0199106637096,353.0,299.0,0.2
7,21.1502629258,11.83332175,32.9835846759,60.3353350654,0.0178357071154,352.0,304.5,-1.4
8,20.8809964368,12.0101333282,32.8911297649,60.2126525083,0.0374386238215,350.5,305.0,-1.8
9,20.7611718329,12.3440750588,33.1052468917,60.3968802549,-0.000452510503422,351.0,303.5,-1.7
10,21.3227596357,11.826905724,33.1496653597,60.3559354042,-0.00459692841867,352.5,300.0,-0.5
11,20.7562362354,12.2993204282,33.0555566637,60.424513601,-0.0016975180022,348.0,297.5,0.7
12,21.1569193434,12.8132466412,33.9701659846,60.3998456274,0.00446742350815,347.5,296.0,0.2
13,21.0215624935,12.5776294125,33.599191906,60.3946177024,0.0171805783519,350.0,295.0,0.2
14,20.9551609642,12.5280754407,33.483236405,60.3329507621,0.00578480837438,349.5,297.5,-0.5
15,20.5024550361,12.3687817314,32.8712367675,60.416026011,-0.0119910300999,348.5,301.0,-1.4
16,20.1740570897,13.1381293473,33.312186437,60.4221827449,-0.00890197871348,349.5,297.0,-0.4
17,20.7911002706,12.1956755605,32.9867758312,60.4805205941,-0.0272814331725,347.0,296.0,0.5
18,20.8553244655,13.8243963919,34.6797208573,60.361874804,-0.00801271694707,351.5,295.0,0.9
19,19.9954636321,12.090414813,32.0858784451,60.3560708605,-0.00172197186459,350.5,294.0,1.5
20,20.0285965119,12.3439945332,32.3725910452,60.3776728514,0.00521721755057,348.5,295.0,0.9
21,20.6537074445,11.8077076539,32.4614150985,60.3441134283,0.0187855552354,353.5,298.5,-0.5
22,21.1722730151,12.0529928773,33.2252658924,60.3218112193,0.0312824122809,352.5,299.5,-0.9
23,21.1650850134,12.288702984,33.4537879974,60.3474610012,0.0117440783773,351.0,301.5,-1.1
24,21.3013008641,12.5661075715,33.8674084356,60.4037589391,0.00450210712339,348.5,299.5,-0.9
25,20.2935409958,13.3338545654,33.6273955612,60.4380412044,0.00939590219828,349.5,296.0,0.3
26,21.1294650006,13.0594158813,34.1888808819,60.4782232807,0.00765996074444,347.5,295.0,0.8
27,19.8824426381,12.3573608562,32.2398034943,60.4061813931,-0.00441038292678,348.5,296.0,0.0
28,20.5038162313,13.0898073876,33.5936236189,60.4262694747,0.010469886911,349.5,295.0,-0.2
29,20.5304412408,12.0166217134,32.5470629542,60.4850207154,-0.0176439101992,349.0,297.5,-0.5
30,20.4781528701,12.7849787575,33.2631316275,60.5165230844,-0.0324606200578,354.0,299.0,-0.8
31,20.5188892513,12.8844477602,33.4033370115,60.3841294784,-0.00853105285077,347.5,296.0,0.2
32,20.2663315955,12.6156700839,32.8820016794,60.4786189093,-0.0260652703797,350.5,294.0,1.7
33,20.4993799554,12.2619528653,32.7613328206,60.3968011644,-0.0107575758869,349.0,295.0,1.7
34,20.6501627421,12.0332355373,32.6833982794,60.3542199841,-0.0407482326436,350.5,295.0,1.7
35,20.7260027167,12.1559231826,32.8819258992,60.3414742142,0.0112640936015,350.0,297.0,1.5
36,21.1825768853,12.1158052478,33.2983821331,60.3482925574,0.0137309125156,349.5,302.5,-0.7
37,20.871755753,12.0544498864,32.9262056394,60.343013285,0.0243794402964,351.0,303.5,-1.0
38,21.2273879671,12.2264000302,33.4537879974,60.1504788209,0.0626612943028,351.5,303.5,-1.5
39,21.0574415215,12.6007280788,33.6581696003,60.3977946822,0.0115978419029,355.0,304.5,-1.7
40,21.4424074187,11.8963806274,33.3387880461,60.41694712,0.00561479345039,350.5,299.0,-0.6
41,20.4418805435,13.1251287087,33.5670092522,60.4649104865,0.00102639377125,347.5,298.5,-0.2
42,20.3234220596,13.244273578,33.5676956376,60.4637852924,-0.0159181672021,352.0,296.0,0.0
43,20.5927270007,12.5430383577,33.1357653584,60.4557838917,-0.0171951465269,348.0,296.0,-0.4
44,20.8248102228,12.9704770525,33.7952872753,60.4450210872,-0.0149559626458,351.0,296.0,-0.7
45,21.1840354577,12.3348279712,33.5188634289,60.4700424553,-0.0093143626052,348.5,297.5,-0.5
46,20.7701780001,12.0378478476,32.8080258478,60.3841944564,0.0118159212031,351.0,296.0,0.9
47,20.6538054959,12.2999948554,32.9538003512,60.3698081591,0.0167846425299,348.0,294.0,1.2
48,20.2699267333,12.3072302084,32.5771569417,60.370241274,0.01127384212,349.5,292.5,1.8
49,21.2802629537,12.8565563645,34.1368193182,60.4234706423,-0.00809225774031,351.5,295.0,0.2
50,20.4651110808,12.3223405865,32.7874516673,60.4432740624,-0.021608206289,352.5,300.5,-1.2
51,20.7811391597,12.6023631995,33.3835023591,60.4537313717,-0.0153390570571,352.0,300.0,-1.1
52,20.5493519795,12.1131559477,32.6625079272,60.4266104846,-0.00638596203652,351.0,301.5,-1.8
53,20.1591944779,11.9778169368,32.1370114147,60.3830093536,0.00587185897858,348.0,296.0,0.0
54,20.6333469081,12.5448362074,33.1781831154,60.335233031,0.00133045014868,351.0,294.5,0.3
55,20.2645168326,12.5769463337,32.8414631663,60.3770360864,0.00600176613396,350.5,294.5,0.6
56,20.1327137891,12.6109635857,32.7436773749,60.3946806744,-0.00304934473886,346.0,292.5,0.9
57,20.2798669841,12.3308841583,32.6107511424,60.4123686485,-0.0148240303292,346.5,296.0,0.1
58,20.918404623,12.646046964,33.564451587,60.3418852817,-0.00140455285693,353.0,296.0,-0.2
59,19.9694376292,12.4386431723,32.4080808016,60.4070449171,0.0126931542704,351.5,297.5,0.1
60,20.8938139458,12.2697917366,33.1636056824,60.3794339507,0.0051587846037,349.0,297.0,0.3
61,20.0212117828,12.4345655753,32.4557773581,60.3382484969,0.0113932393914,350.0,296.5,0.9
62,20.1365539082,12.2049171363,32.3414710445,60.3348625174,0.0108484942153,352.5,295.0,1.7
63,20.8039282161,12.5936909121,33.3976191282,60.4705106885,-0.0170379130989,347.5,298.0,0.5
64,20.6235284245,12.7477239856,33.3712524101,60.4052278737,-0.00375728554642,351.5,298.5,-0.1
65,20.5643716185,11.9282948209,32.4926664394,60.3952146938,-0.034117891206,352.5,301.0,-1.0
66,20.0612755453,12.4625952249,32.5238707703,60.3891049885,-0.0302117283964,352.5,303.5,-2.0
67,21.1330352133,12.1601253311,33.2931605444,60.385321123,-0.00792954664768,351.5,300.5,-0.6
68,21.1881107039,12.172580747,33.3606914509,60.386441446,0.0107867776806,348.5,298.0,-0.4
69,20.2612286765,12.0551697911,32.3163984676,60.2246252378,0.0413829464438,349.5,296.0,0.5
70,20.7264472228,12.3119058651,33.0383530879,60.2380463465,0.0583489736995,349.0,293.5,0.5
