,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr,tail_bend_amplitude
0,17.9601511774,18.277443301,36.2375944784,59.7322196379,0.000933496689517,366.0,232.0,2.0,2.54480437981
1,17.4623520108,18.3117608689,35.7741128797,59.6359320529,-0.013039291743,369.0,231.0,2.2,2.99034497517
2,18.0309532734,18.9611026596,36.992055933,59.700945876,-0.012590202251,368.0,235.5,1.3,3.3913394198
3,18.5026055957,18.7417713949,37.2443769906,59.7192186906,-0.000327981093039,367.5,236.0,0.9,3.3913394198
4,18.4246604187,17.769971746,36.1946321646,59.7368871214,0.0103185512393,366.5,242.0,-0.7,3.3913394198
5,18.9711408141,17.9440766791,36.9152174932,59.5707355942,0.056204679239,368.0,242.0,-0.8,2.99034497517
6,19.04179929,18.3873168131,37.4291161031,59.6379948647,0.0058140084394,364.5,242.0,-1.0,3.64312821221
7,18.9883923644,17.4166847804,36.4050771448,59.7175787852,0.0256326228752,366.0,240.5,-0.7,3.64312821221
8,17.5686369565,17.5052642312,35.0739011877,59.7884798776,-0.00441105634292,367.0,238.5,-0.5,3.0015243277
9,18.4047358358,17.4029970289,35.8077328647,59.8517589904,-0.0390635537495,365.5,238.0,-0.7,2.78748084203
10,17.9977726107,18.1523992066,36.1501718174,59.6670649069,0.00405530654106,370.5,237.0,-0.5,3.49463892725
11,18.8863660934,18.3638635672,37.2502296606,59.8457418995,-0.0282661118828,365.0,237.0,-0.7,2.99034497517
12,18.519538819,17.3555530519,35.8750918709,59.7664245958,-0.0153561483155,371.0,236.0,0.0,3.3913394198
13,18.6264359599,18.355344549,36.981780509,59.6564412216,0.0116366511862,368.0,234.5,1.4,2.99034497517
14,17.8329858271,17.5334283823,35.3664142093,59.6873414396,0.015359359532,370.5,234.5,2.5,3.3913394198
15,18.7283889257,18.0754753659,36.8038642916,59.7044113401,-0.0226153020773,367.0,233.5,2.9,3.3913394198
16,18.4450475289,18.0314516035,36.4764991324,59.6896438543,-0.00776865402141,367.5,236.0,1.7,2.99034497517
17,17.9521946854,17.7431492224,35.6953439077,59.7146244776,-0.0145736647067,367.0,241.5,-0.7,2.99034497517
18,18.7704969667,17.1021240387,35.8726210054,59.7641382373,-0.0140064839394,366.5,247.0,-2.5,2.78748084203
19,18.1666872222,17.4479078145,35.6145950367,59.5913348297,0.0122986228357,365.0,248.0,-3.2,3.3913394198
20,18.5700011306,17.7910510223,36.3610521528,59.6508005842,0.0297163101918,367.5,244.5,-2.1,3.3913394198
21,18.2931919417,17.3430750811,35.6362670228,59.641756154,0.0248312783311,364.5,238.0,-0.7,3.64312821221
22,18.2225370649,18.5921220239,36.8146590887,59.6941058176,0.0371175047136,370.0,234.5,0.5,3.3913394198
23,17.8069044801,18.7120110453,36.5189155254,59.6528279439,0.0112492579976,365.0,232.0,1.6,3.3913394198
24,18.9799524755,18.3044651276,37.2844176031,59.7993821351,-0.0454990467828,363.0,234.0,0.6,3.3913394198
25,17.9767220249,18.6153973134,36.5921193382,59.7659125457,-0.0167155805874,370.0,234.5,0.7,2.99034497517
26,18.0958842247,17.512367984,35.6082522087,59.8796933411,-0.0256596807205,366.5,237.0,0.2,2.99034497517
27,18.2137559776,18.0022256009,36.2159815785,59.7090742339,0.0129593695789,366.0,240.0,0.3,2.99034497517
28,18.241179008,18.2846038181,36.5257828261,59.5718869012,0.0550844000821,367.0,237.0,1.0,2.99034497517
29,17.8531583611,17.5862848049,35.439443166,59.6823346427,0.0212132546152,368.0,238.0,1.2,3.64312821221
30,18.014882209,17.2566179199,35.271500129,59.7513949375,-0.0140670700173,365.0,238.0,0.7,3.64312821221
31,17.9562861247,18.5748979063,36.5311840309,59.7738710818,-0.0304505070018,364.5,241.5,-0.9,2.54480437981
32,18.0993117,16.9004454054,34.9997571054,59.8473089016,-0.0438952406715,370.5,242.0,-1.7,3.3913394198
33,18.0419922466,17.0832026571,35.1251949037,59.7884009158,-0.0125138621647,363.0,244.0,-2.4,3.64312821221
34,18.3910472514,17.6913371791,36.0823844305,59.6810595874,0.00189655149121,367.0,241.5,-1.3,3.64312821221
35,18.2945081291,17.92064851,36.2151566391,59.6216185468,0.0362442897049,366.0,237.0,0.0,2.99034497517
36,18.7470486888,17.0136882044,35.7607368931,59.6278326983,0.0136241252981,366.0,233.5,1.1,3.3913394198
37,18.4464666058,16.8031671996,35.2496338053,59.725831605,-0.000192930517855,366.0,232.0,1.9,3.3913394198
38,18.601100132,17.0641191439,35.6652192759,59.6905423449,-0.010698483794,366.0,235.0,1.3,3.3913394198
39,18.1041902217,18.7859424679,36.8901326896,59.8028399953,-0.044533314134,366.0,237.0,0.2,2.99034497517
40,17.9512510901,17.8660390924,35.8172901825,59.6959533247,-0.0110899808687,366.0,239.0,-0.4,3.64312821221
41,18.1157105359,17.0092011732,35.1249117091,59.7248669524,-0.0153990902509,363.5,241.5,-1.1,3.3913394198
42,18.8314283824,16.9724391553,35.8038675377,59.6370499259,0.0282622740972,366.5,241.5,-0.9,3.64312821221
43,18.2009424693,17.0444938703,35.2454363396,59.5801734246,0.0176650079314,371.0,238.0,0.0,2.99034497517
44,17.2837667971,17.1048232656,34.3885900627,59.6405034204,0.00286632105884,368.5,237.0,0.0,2.99034497517
45,18.1719845606,17.3318479403,35.5038325009,59.6478715011,-0.00400137015726,366.5,236.0,0.1,2.99034497517
46,18.3787440899,17.4863724615,35.8651165514,59.7783612964,-0.030660074898,362.0,237.0,-0.2,2.99034497517
47,18.5558729888,17.8066491222,36.362522111,59.6684984643,-0.00232785346385,365.0,238.0,-0.4,3.3913394198
48,18.1596960419,18.4192000889,36.5788961308,59.6548350257,0.0162579945976,368.0,237.0,-0.2,3.3913394198
49,18.2812873879,17.4925782472,35.7738656351,59.6278646504,0.03352666911,367.0,236.5,0.3,3.3913394198
50,18.1838506672,18.070077221,36.2539278881,59.6250609219,0.044626851586,369.0,236.0,0.7,2.99034497517
51,18.4220230477,17.1647955119,35.5868185596,59.656859197,-0.021238184463,363.5,236.0,1.1,2.99034497517
52,18.5327295047,17.3591071331,35.8918366377,59.7361249987,-0.01065391654,364.5,236.0,0.9,2.99034497517
53,18.1863272256,16.3250291861,34.5113564117,59.7954979959,-0.0370788669665,363.5,238.0,0.6,2.78748084203
54,17.9489371509,17.3529500535,35.3018872045,59.8481951799,-0.0578463831576,364.5,239.5,-0.7,2.54480437981
55,18.1401621517,17.7582115831,35.8983737348,59.5506682747,0.0114092670929,367.0,241.5,-1.4,3.49463892725
56,18.2344925773,17.775529388,36.0100219653,59.682855416,0.0024760581271,368.0,240.5,-1.2,3.3913394198
57,19.1404967205,16.5845192458,35.7250159663,59.6101036611,0.0183990406997,367.0,241.0,-1.0,3.3913394198
58,18.5779363496,17.9635275568,36.5414639064,59.5589632641,0.0128883746745,368.5,236.0,0.0,2.99034497517
59,18.6296553854,17.9003622067,36.5300175921,59.6077146101,0.0190543142441,370.0,234.5,0.5,3.3913394198
60,17.617390048,18.1587054673,35.7760955153,59.6952357066,-0.00812842018994,367.5,234.5,0.7,2.99034497517
61,18.0456357146,17.4148694126,35.4605051272,59.7020988646,-0.0359345521496,364.0,236.0,0.4,3.3913394198
62,18.1650819529,17.0129789909,35.1780609438,59.6234051374,-0.0114007992314,368.5,236.0,0.2,2.99034497517
