,left,right,convergence,bladder_mid,sb_cr,size_sb,mouth_area,mouth_cr,tail_bend_amplitude
0,11.0702183727,23.4200939975,34.4903123702,59.6659071142,-0.00687564605322,361.0,239.0,0.5,3.61611389615
1,11.0507717128,22.2625562967,33.3133280095,59.6736530373,-0.0185791501137,363.0,239.0,0.8,3.85680098559
2,12.2416651097,23.3555515909,35.5972167006,59.7898665703,-0.049976450984,362.0,241.0,0.3,3.0015243277
3,10.4643447989,23.4581921165,33.9225369154,59.5957771935,0.00269339829402,364.5,241.5,-0.1,2.96823402987
4,10.9269333628,22.8062084103,33.7331417732,59.6315288839,-0.0126786689049,364.0,241.5,-0.7,3.3913394198
5,11.0025332947,22.256696428,33.2592297226,59.5807572867,0.0123790990837,366.0,243.0,-1.4,3.3913394198
6,10.8592699685,21.9633672124,32.8226371809,59.5399843154,0.0104569327498,367.5,242.5,-1.1,3.3913394198
7,10.5292421918,22.2178051197,32.7470473115,59.6092441849,0.00383707607445,370.0,241.0,-0.6,3.3913394198
8,11.657437999,24.2650616215,35.9224996205,59.5681355394,0.0476027640543,367.5,238.0,0.2,3.3913394198
9,11.4699219561,23.772665652,35.2425876081,59.6426527821,-0.00770350947167,363.0,236.0,0.6,2.96823402987
10,11.623950027,23.3857028638,35.0096528909,59.5922689791,0.020081329653,363.0,237.0,1.5,2.96823402987
11,11.2890936342,22.4071382198,33.696231854,59.6284295653,0.00672013667222,361.0,238.0,1.1,3.0015243277
12,10.9695381926,22.7992296967,33.7687678893,59.8061493597,-0.0346441768485,363.5,239.0,-0.2,3.81407483429
13,11.9814536802,23.2407120031,35.2221656833,59.6041352348,-0.0108575417036,360.5,239.0,-0.2,4.23639479906
14,10.4464651411,23.5074964445,33.9539615856,59.6926756274,-0.0201811025568,364.0,244.5,-1.3,3.3913394198
15,10.4355634024,24.4505416272,34.8861050296,59.6620302487,-0.00507790209792,364.0,243.5,-0.6,3.3913394198
16,11.1385494854,24.2062851712,35.3448346566,59.6329284754,-0.0168347384648,367.5,238.0,0.8,2.96823402987
17,11.2554645655,22.9752872485,34.230751814,59.5498475263,0.0229503331558,364.0,238.0,0.4,3.3913394198
18,12.0059622661,23.7927239158,35.7986861818,59.5917701146,0.0184448919964,361.0,238.0,0.0,3.3913394198
19,11.391463029,23.1009165632,34.4923795921,59.6366407382,-0.0164033496084,364.0,240.5,-0.7,3.3913394198
