,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial
0,15.5241109968,182.739777004,18.75,15.5241109968,8.84072215081,56.5679556383,858.579931334
1,21.2796044277,167.241685875,18.6528497409,12.7741842797,6.93173593675,49.8504708697,1529.91985135
2,71.6169965658,349.041008135,43.8616071429,27.2333703614,16.3965344477,36.0080170811,7873.95481548
3,33.5304696671,147.851135342,18.1415929204,15.6464381157,11.6484154981,56.0918595848,2332.2248345
4,38.5331179586,146.384480645,12.3711340206,38.5331179586,29.8367197749,51.3097717691,441.923920768
5,37.6430181998,171.264444532,27.763496144,11.2834434424,4.20267950372,73.0064568881,4113.09879207
6,58.399649892,229.140303736,20.8955223881,23.2376469354,14.1094314676,58.6147797958,1424.46177386
7,12.5196433171,180.620127266,21.0810810811,4.10279692324,3.53319168071,57.0684843715,1157.0015363
8,59.8026441647,427.568957512,12.5,6.34019174591,5.53841061162,19.1873941114,1101.43802692
9,30.9064034186,175.651556753,22.3880597015,10.8735203953,10.1647281232,55.3425162503,1946.88704315
10,29.6630886623,153.889961267,20.036101083,19.4808002283,18.7440957123,59.9876547594,1466.11234086
11,14.0362434679,88.3536271135,13.6363636364,3.576334375,3.55488866938,39.5411479443,361.428953337
12,32.0870592461,194.132312634,21.1325966851,12.4204299453,8.55555824341,54.9229403449,2218.3921095
13,13.7362683056,154.296873814,14.1509433962,12.0539916769,10.5420713296,60.1223101351,175.661426607
14,20.6643704445,231.124248643,26.6666666667,20.6643704445,11.6706386219,91.950869249,246.384147501
15,9.76311191502,160.925432361,13.3333333333,6.90942406085,3.7824274817,47.6232821431,212.707364988
16,18.306579106,330.268236866,35.593220339,11.2975655889,2.63148104682,48.0636484467,962.200115952
17,48.1863729746,564.864859622,27.1812080537,43.1493303694,35.3557240256,7.4875461353,3765.50376261
18,23.7759235418,262.950905566,32.2916666667,11.1078827037,0.545046933476,97.2958247531,1223.88083184
19,43.5797344536,150.044443566,20.3389830508,10.6196552762,9.15025677801,65.206525997,1141.09408603
20,35.9605171966,203.734115126,16.8367346939,13.1906107122,11.6781800506,53.214192361,645.551307631
21,94.9863337712,513.275825467,11.5384615385,94.9863337712,98.4974651772,13.878279679,1187.93787488
22,26.2559042877,163.611630108,10.0,8.04062437456,7.17884045661,41.9653248115,360.578618451
23,60.1199873982,191.668624716,15.0717703349,34.1932008457,27.9032536747,53.1516599733,1308.70457664
24,96.4326539241,162.443767435,12.2950819672,42.9261286324,34.8409440042,38.0831737128,1912.65291975
25,24.8094083755,270.265107479,14.5631067961,13.3730093941,12.1549416972,56.5939275794,607.048089901
