,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial,tailcurvature_distal30
0,15.5241109968,182.739777004,18.75,19.1925235699,0.647097168202,56.5679556383,858.579931334,45.5436860287
1,21.2796044277,167.241685875,18.6528497409,14.6251088149,2.33937391132,49.8504708697,1529.91985135,36.0087515609
2,71.6169965658,349.041008135,43.8616071429,29.2152158995,1.96538240581,36.0080170811,7873.95481548,67.4208692028
3,33.5304696671,147.851135342,18.1415929204,17.3236120978,4.86522888405,56.0918595848,2332.2248345,33.2973572165
4,38.5331179586,146.384480645,12.3711340206,48.3269706314,18.0553694306,51.3097717691,441.923920768,91.9744485917
5,37.6430181998,171.264444532,27.763496144,16.9975837403,5.49127514467,73.0064568881,4113.09879207,49.4163627723
6,58.399649892,229.140303736,20.8955223881,31.9235027,2.81970064738,58.6147797958,1424.46177386,73.3921895444
7,12.5196433171,180.620127266,21.0810810811,4.4312090259,2.53443694299,57.0684843715,1157.0015363,7.11945538805
8,59.8026441647,427.568957512,12.5,7.29254629109,4.28701591603,19.1873941114,1101.43802692,13.2629037183
9,30.9064034186,175.651556753,22.3880597015,10.1696644573,9.60651040677,55.3425162503,1946.88704315,10.5530332037
10,29.6630886623,153.889961267,20.036101083,19.6090538726,17.7581275387,59.9876547594,1466.11234086,21.5535280934
11,14.0362434679,88.3536271135,13.6363636364,3.76997749134,4.84711391744,39.5411479443,361.428953337,6.78595948441
12,32.0870592461,194.132312634,21.1325966851,14.2322435132,1.16571966804,54.9229403449,2218.3921095,29.5937119601
13,13.7362683056,154.296873814,14.1509433962,11.849693248,7.72775656929,60.1223101351,175.661426607,20.2619864948
14,20.6643704445,231.124248643,26.6666666667,33.2413879658,2.82748311851,91.950869249,246.384147501,88.3033726893
15,9.76311191502,160.925432361,13.3333333333,10.2203753789,3.33066907388e-16,47.6232821431,212.707364988,26.6474740638
16,18.306579106,330.268236866,35.593220339,13.9730332791,8.61862436433,48.0636484467,962.200115952,48.3881717039
17,48.1863729746,564.864859622,27.1812080537,50.5700238,19.9591053218,7.4875461353,3765.50376261,78.3658208243
18,23.7759235418,262.950905566,32.2916666667,17.9860166836,9.97842620916,97.2958247531,1223.88083184,67.7946961172
19,43.5797344536,150.044443566,20.3389830508,11.6396860891,7.8446787781,65.206525997,1141.09408603,17.2482888629
20,35.9605171966,203.734115126,16.8367346939,14.6420316038,7.8446787781,53.214192361,645.551307631,23.5140274365
21,94.9863337712,513.275825467,11.5384615385,86.9964600432,94.4500552965,13.878279679,1187.93787488,83.2140405156
22,26.2559042877,163.611630108,10.0,9.0927036047,4.73019170862,41.9653248115,360.578618451,16.2955605248
23,60.1199873982,191.668624716,15.0717703349,38.3942685844,16.7436001209,53.1516599733,1308.70457664,66.3677860548
24,96.4326539241,162.443767435,12.2950819672,44.5249989101,22.1472810531,38.0831737128,1912.65291975,73.942782785
25,24.8094083755,270.265107479,14.5631067961,13.6819529502,10.9591658476,56.5939275794,607.048089901,21.3427447669
