,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial
0,11.26771009,201.4729801,19.18604651,10.49147701,6.671497223,58.03926145,514.0780549
1,32.48963316,199.4829519,17.69436997,12.34236695,6.941780421,53.22530222,3938.182289
2,35.83765295,321.6831979,13.88888889,23.53901609,15.98480152,52.37898552,1117.345376
3,33.57493885,158.4085773,26.92307692,19.91813307,13.27703095,43.3488663,1097.280362
4,15.54710519,108.9494486,14.0625,10.02026712,6.768478664,52.83870319,543.1991919
5,69.60073389,396.8894683,36.64122137,65.32009258,55.78047101,21.82280783,4396.481379
6,33.53046967,195.4154566,13.48314607,12.09475708,12.37791624,43.875722,502.9273184
7,29.44542873,239.7131282,15.95744681,29.44542873,18.69457495,50.20001953,470.987683
8,73.01176226,468.54888,11.32075472,73.01176226,60.83417532,13.80044318,1424.994178
9,22.41224895,135.0121181,15,20.18088724,13.12762197,53.62186566,321.025289
10,21.93278393,138.3575137,13.29113924,5.201894156,4.41315574,50.70555502,315.7181507
11,19.9023566,139.9297837,17.14285714,5.668568956,4.578518653,49.28141483,488.3803496
12,21.99421564,173.7928067,17.24137931,5.668568956,4.578518653,49.70661387,488.5550643
13,10.05254483,171.2533057,16.66666667,4.032885226,3.386114663,48.64521318,267.09995
14,13.48306003,103.7249173,8.181818182,2.632434869,3.106027096,49.82467434,140.9104378
15,17.02720734,126.3621957,18.46153846,8.176197098,7.923259283,51.81679101,219.4708108
16,17.17590362,161.8517916,22.11538462,11.3732427,10.3437262,43.69160949,957.2867065
17,7.294196309,114.363978,18.46153846,4.537772508,4.802506043,46.17175847,220.8823334
18,41.34777722,229.0182402,22.99270073,10.22773241,9.290631602,34.12725203,1080.455572
19,15.79592899,164.2428629,18.75,13.74370738,11.95658424,50.60313793,603.3862081
20,9.761774775,25.26103139,10.71428571,3.077455399,5.723816257,25.26103139,25.26103139
21,11.48199135,56.76294202,0,8.303462731,8.31919665,42.71760163,56.76294202
22,17.12448961,118.2949628,19.56521739,9.782407032,9.653786089,48.33575655,256.9299087
23,38.65980825,112.7863828,18.65671642,11.73077533,9.483878181,37.37643346,988.4038704
24,9.282755502,148.5502859,20.68965517,0.943055232,1.218875235,54.23330905,228.2791442
25,3.102868389,11.58375979,0,0.715166762,0.324312269,11.58375979,11.58375979
26,4.35463653,83.26967215,12.85714286,2.139364792,1.113119901,49.50420041,83.26967215
27,34.61819484,176.4327521,14.83516484,26.42598402,19.56481406,55.59684993,442.5544332
29,39.55230063,244.4632814,14.0625,39.55230063,33.40782459,11.85217094,715.4033456
30,12.55169855,180.0276195,15.51724138,12.55169855,10.24665849,49.45434279,244.6690618
31,38.0698665,188.9512478,21.12676056,17.40579402,15.41107825,53.50894674,1935.185876
