,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial
8,110.7722547,615.9078541,21.22641509,97.645583,95.41268408,168.9418292,854.9965065
2,107.4138046,421.3053138,25.46296296,85.48876099,86.50294026,128.6757101,670.4072256
3,94.08561678,398.9763151,42.73504274,75.06858282,79.68873887,63.17659819,658.3682169
29,96.00900596,310.6403562,26.04166667,96.00900596,95.67535589,105.9620803,429.2420074
18,131.3477772,293.4502951,36.49635037,122.5088786,118.7747246,101.9381608,648.2733433
19,105.795929,280.9395947,34.09090909,104.3262413,101.6421201,70.39487062,362.0317249
0,100.8426763,256.9648869,29.06976744,100.491477,96.67149722,90.31702321,308.446833
12,111.9942156,238.0082721,25.86206897,111.3777283,106.1513195,76.28600826,293.1330386
6,123.5304697,234.9855146,19.66292135,122.1426563,111.9612076,77.69660923,301.756391
1,106.8263326,234.5299265,30.16085791,88.83302515,89.13125588,85.98141895,2362.909373
31,88.25105396,224.5757638,36.38497653,81.63411388,82.43384428,91.94429166,1161.111526
7,119.4454287,205.9067212,23.93617021,119.4454287,108.694575,114.0159974,282.5926098
27,81.82876644,202.8841525,27.47252747,81.82876644,82.65570071,77.25755899,265.5326599
16,107.1759036,190.4930387,35.25641026,106.1355887,104.7665516,72.47473922,574.3720239
11,109.9023566,174.402531,26.19047619,107.3285734,101.3999729,63.8845761,293.0282098
9,112.4122489,165.7308701,21.875,110.1808872,103.127622,55.28423178,192.6151734
10,111.9327839,160.1273519,18.98734177,111.9327839,106.7639293,61.43216832,189.4308904
13,100.0525448,159.5032504,23.80952381,99.11989394,95.45093516,85.46498636,160.25997
30,98.90171603,146.8014371,21.55172414,98.90171603,99.74709014,86.70128841,146.8014371
22,107.1244896,138.5011522,28.98550725,104.1098884,102.8100117,57.5764376,154.1579452
24,99.2827555,136.9674865,30.17241379,94.20294185,91.16988522,70.89557144,136.9674865
17,97.29419631,129.1898084,34.61538462,97.15266875,97.52598002,52.6719686,132.5294
15,107.0272073,124.6163867,26.92307692,105.9013899,104.3461335,59.61052079,131.6824865
23,98.34795598,120.4219387,32.33830846,98.30346273,98.13010235,60.65643231,593.0423222
4,91.16481838,114.1289983,25,91.16481838,91.09469059,51.36342535,325.9195151
14,103.48306,84.54626266,9.090909091,99.77174735,99.94340301,56.88347153,84.54626266
26,94.35463653,49.96180329,28.57142857,94.35463653,90.76633097,44.27681893,49.96180329
21,101.4819914,34.05776521,8.928571429,101.4819914,100.6588721,34.05776521,34.05776521
20,99.76177478,15.15661883,0,93.0774554,95.72381626,15.15661883,15.15661883
25,93.10286839,6.950255873,0,90.71516676,89.67568773,6.950255873,6.950255873
