,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial
0,30.1529859223,215.312042543,7.97872340426,30.1529859223,25.8301906888,143.559952077,253.643410223
1,25.5976405627,237.803823331,16.1290322581,25.5976405627,23.6658703608,63.9535641414,278.043597364
2,23.0887625323,100.833272964,9.61538461538,7.13228582244,6.0814889256,73.6838252662,100.833272964
3,18.5101130054,172.337460196,16.0256410256,18.5101130054,15.5835709241,81.5189622469,197.267016465
4,67.609888852,552.074267404,15.625,24.28398059,18.1279912558,77.558569164,620.813210893
5,65.5786794088,436.756555909,20.1149425287,17.5430575776,18.8974827952,103.400519084,467.19366984
6,20.0575365721,213.305926968,16.1290322581,20.0575365721,18.1604391179,78.9409187755,267.700691758
7,44.2442042395,294.529786923,19.2307692308,22.6585679725,25.3319644722,106.956063655,375.618377456
8,47.4493582463,347.549727127,16.1290322581,1.13596992217,0.708199580965,100.257658078,397.007230281
9,43.8806013741,320.138541335,19.4444444444,22.4986200863,24.5901877001,105.343083967,360.840566914
10,65.9390779203,546.039853418,16.6666666667,41.674300455,37.6694919596,183.525758822,721.899536426
11,32.9953994153,354.768374383,12.5,32.9953994153,28.5856738367,139.453395446,449.67262064
12,36.349263397,282.615126469,14.2857142857,26.471758054,22.4695527756,102.263684338,433.828733618
13,47.9227376389,389.284990541,25.0,27.8417031438,31.130889069,153.852975013,437.306501581
14,58.0260652074,444.315925178,11.7924528302,35.9087549448,27.8780807406,150.063191715,575.316746565
15,50.707116953,381.825808185,13.0208333333,25.444773109,26.8347267051,103.121249929,451.675155879
16,76.3292993877,465.706421032,17.5,31.3990095985,30.0001263362,124.959821461,547.261313506
17,40.6920193188,345.253998856,21.4285714286,26.4419918155,24.7621256038,115.693852598,440.070082789
18,35.1196060137,359.877084112,19.2307692308,35.1196060137,28.6880990317,165.516520297,407.601956663
19,81.0388817317,595.055222471,12.6262626263,33.3854128506,34.0478546889,157.751577394,680.874342217
20,65.7730974718,541.708280251,17.3267326733,34.6691080018,28.1162217226,148.770742664,645.925076064
21,63.3635733337,511.980457807,18.0412371134,22.7728200196,15.8881139054,112.98489286,560.590693085
22,19.1204287399,170.684666612,20.8333333333,19.1204287399,20.7357029658,73.6446990333,212.463050981
23,55.6105757437,607.751604741,18.4210526316,32.9775046234,26.1747764513,168.958300386,686.06216393
24,92.576985699,571.751317263,15.0,29.4273675657,28.2807029144,141.968842778,671.664040204
25,110.809958825,671.838705828,18.1818181818,36.6879554284,32.7849007129,144.241746072,832.348328272
26,48.4558794646,390.598677347,20.202020202,39.5515672833,34.1199681371,177.894795359,452.778094424
27,26.2907573681,193.9648934,20.5882352941,26.2907573681,27.9213738144,124.092372836,218.37785777
28,45.0633957782,366.475878479,12.5,35.5648394506,30.2752161692,143.943157711,428.439559152
29,42.2142334418,313.122937505,7.5,42.2142334418,38.2669058025,177.808301733,357.526647257
30,45.7656564782,654.28420379,33.3333333333,29.7156766801,31.2973821057,108.482155253,718.781520042
31,127.573500117,1057.11052048,22.2772277228,19.0390564238,13.0532810544,105.249628773,1105.85502793
32,174.436747431,794.675754002,15.4320987654,19.4152742556,20.3360529675,709.288582957,805.9914506
33,17.1084322532,105.205688105,9.61538461538,0.0350555656229,0.617009452119,68.7905686185,105.205688105
34,64.8873543541,358.687258539,12.5,26.1119620625,23.8681980632,107.85062036,439.78363907
35,106.034646183,673.451061284,20.0892857143,31.3888256972,34.2406849415,167.050841281,817.787824753
36,36.5483253259,248.748761967,13.5869565217,25.9522894383,24.6297803269,84.2266187653,351.384006151
37,40.8686055781,247.535112519,20.1149425287,15.2001119134,17.8539100616,68.7060235556,279.883410651
38,51.9302473624,367.284559065,14.2857142857,26.287666942,24.6626529595,96.8755969861,428.967913168
39,22.9763934756,130.691069995,9.61538461538,3.33088832799,2.09257847807,73.4317210464,130.691069995
40,82.1224605225,532.27858653,14.0449438202,29.3778886078,28.5585466754,119.658166961,556.836943428
41,28.3200138799,273.588589784,20.1612903226,28.3200138799,30.7040118186,140.424747347,458.848958005
42,31.4598897956,340.407802747,14.8514851485,29.0317909434,22.0193577772,145.712268665,417.721650871
43,102.976555911,679.591472523,16.8269230769,30.5342429317,27.3621800999,124.671259342,777.956748002
44,112.754371819,772.315637447,17.8571428571,38.5611787888,34.6818723707,136.734408165,862.992988468
45,39.2133128179,226.522600283,12.0192307692,39.2133128179,27.4936367434,154.065108017,294.471976714
46,63.7877028091,397.571023407,17.6991150442,23.2254751146,19.7809117133,96.7078117569,554.478817077
47,80.8500163588,650.98644983,19.0476190476,44.1629592303,35.9304274971,193.55148832,772.365505696
48,51.5249271978,503.576943208,21.8446601942,42.1784917139,36.1960397848,184.429616905,589.587325103
49,75.1885136521,557.400013412,20.4918032787,38.1215906033,32.5883378994,180.794502668,953.602273805
