,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial
0,11.2677100944,201.472980126,19.1860465116,11.0856172405,0.942494372835,58.0392614548,514.078054937
1,32.4896331591,199.48295187,17.6943699732,13.463993215,0.942494372835,53.2253022239,3938.18228902
2,35.8376529543,321.68319788,13.8888888889,27.1690037954,3.91977755807,52.3789855197,1117.34537606
3,33.574938854,158.408577341,26.9230769231,23.5848797547,5.49127514467,43.3488663032,1097.2803615
4,15.5471051882,108.949448604,14.0625,12.8132655028,1.74857950206,52.8387031906,543.199191855
5,69.6007338853,396.889468331,36.641221374,66.2886116327,39.2493960881,21.8228078311,4396.48137859
6,33.5304696671,195.415456608,13.4831460674,9.6694928003,13.0841514451,43.8757219993,502.927318393
7,29.4454287299,239.713128156,15.9574468085,38.5844660025,5.5050039367,50.200019534,470.987682991
8,73.0117622576,468.548879973,11.320754717,76.5472183968,44.1580772201,13.8004431774,1424.99417758
9,22.4122489454,135.012118118,15.0,25.0521995558,2.60998441708,53.6218656551,321.025289035
10,21.9327839297,138.357513692,13.2911392405,5.44667914352,3.41702111034,50.705555019,315.718150707
11,19.9023565978,139.929783669,17.1428571429,6.18216323672,2.60998441708,49.2814148336,488.380349637
12,21.9942156442,173.79280666,17.2413793103,6.18216323672,2.60998441708,49.706613867,488.555064324
13,10.0525448271,171.253305702,16.6666666667,4.60998157335,1.87054008751,48.6452131839,267.099950045
14,13.4830600274,103.724917291,8.18181818182,2.60998441708,3.76997749134,49.8246743367,140.910437766
15,17.027207335,126.362195702,18.4615384615,7.78783703179,7.85793090472,51.8167910117,219.470810803
16,17.1759036157,161.851791585,22.1153846154,11.6761805929,9.60651040677,43.691609493,957.286706535
17,7.29419630854,114.363978032,18.4615384615,4.52397298961,4.84711391744,46.171758467,220.882333381
18,41.3477772197,229.018240237,22.9927007299,11.6703212566,9.61444498202,34.1272520306,1080.45557214
19,15.7959289891,164.242862871,18.75,13.1725328885,9.68951532727,50.6031379288,603.386208093
20,9.76177477504,25.2610313904,10.7142857143,0.0783718474995,6.7353693469,25.2610313904,25.2610313904
21,11.4819913547,56.7629420199,0.0,8.54581048561,8.85746919399,42.7176016271,56.7629420199
22,17.1244896135,118.294962776,19.5652173913,8.49263295839,9.74291965039,48.3357565545,256.929908723
23,38.6598082541,112.78638279,18.6567164179,12.3202063306,4.73019170862,37.3764334647,988.403870394
24,9.28275550238,148.550285897,20.6896551724,0.744601973954,1.54648102283,54.2333090455,228.279144232
25,3.10286838899,11.5837597885,0.0,1.63546206442,2.18558934177,11.5837597885,11.5837597885
26,4.35463652987,83.2696721468,12.8571428571,2.26845714398,1.31559453608,49.5042004136,83.2696721468
27,34.6181948408,176.432752145,14.8351648352,28.8891737943,9.15358549892,55.5968499326,442.554433201
28,170.537677792,2092.01637004,17.3076923077,68.7834344648,49.6889687767,19.3130456462,3025.05410057
29,39.5523006321,244.463281373,14.0625,42.5313753665,21.9840668498,11.8521709367,715.403345614
30,12.5516985507,180.027619546,15.5172413793,13.6025051803,4.73019170862,49.4543427861,244.669061755
31,38.0698665033,188.951247765,21.1267605634,18.0802615685,10.7692901381,53.5089467433,1935.18587627
