,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial
6,101.4053708,379.5655137,17.69911504,104.8589705,62.27526475,44.16123556,575.5327513
19,66.21989319,309.7131008,19.39655172,72.81942258,32.1207513,38.04595586,548.6252751
32,60.66095716,250.2319526,14.01869159,71.89181768,29.85089031,37.56434946,395.7806427
16,49.54344562,245.7152528,15.0862069,55.46615704,20.41375139,47.41212004,519.4456088
38,40.95525371,305.9575261,23.36448598,33.98236594,20.74384158,46.45952424,425.9735174
35,27.21789173,177.3133497,16.50943396,27.65822539,4.073526624,39.62768028,279.1844501
44,30.87666288,230.6725717,20.27027027,25.66579072,10.60878966,52.44986958,428.1586645
30,16.69806249,112.6493414,8.426966292,24.28538345,2.140103426,37.02214485,134.5858061
17,83.15460991,330.3333136,18.01801802,18.52928573,4.126303566,55.89855087,580.8961022
45,103.5909956,394.5331397,19.39655172,15.27831509,4.396982529,46.41052802,640.0890693
22,35.81110421,222.954534,13.51351351,14.5092304,0.601693145,63.72959457,381.9718799
47,10.80067818,112.8944472,8.849557522,14.49143775,2.169556238,57.39540095,127.9011452
7,14.51146746,103.9900265,11.79245283,14.10621949,10.79801324,42.82623681,148.8632101
1,40.00184948,272.7579093,17.32673267,11.88408787,2.065070811,59.03523467,356.6831906
18,12.62817826,100.9948994,13.15789474,11.27218744,1.380361496,64.15391352,100.9948994
23,50.7191996,276.0100621,18.42105263,10.90598618,2.721873972,56.52846519,345.0488216
15,92.57682598,412.4557655,13.27433628,9.059173887,1.079512567,89.28983458,632.1982912
48,12.46304761,107.5286625,13.15789474,8.573082703,1.205203057,71.71303067,107.5286625
46,50.01680744,220.2436619,15.30612245,6.48314146,6.257709779,54.16969337,319.3295336
21,16.49027697,130.6472097,14.01869159,5.127064544,1.595146461,64.36084474,252.2736731
42,9.740957962,97.792695,12.62626263,3.342277833,1.279635258,47.55376611,128.496578
3,8.184176898,87.41907921,16.94915254,2.428293896,2.615224931,49.38076111,87.41907921
34,9.149187826,71.86223751,10.20408163,2.041848479,0.660112991,49.53910317,71.86223751
8,9.155452923,66.5224168,12.37623762,2.034041964,0.936257772,40.18452197,102.8988528
5,6.078373366,59.63714396,13.88888889,1.816143375,0.441195657,38.03114973,59.63714396
43,8.828449662,80.54595135,19.60784314,1.651847804,0.861155152,55.08203365,80.54595135
11,12.27577206,94.95005843,9.433962264,1.616793896,0.46760259,58.81488453,94.95005843
10,7.799274573,73.33078037,10,1.541034376,1.251800478,51.27980133,73.33078037
41,9.237861565,77.2459646,10.20408163,1.476873146,1.323958125,39.36270138,110.6091121
33,7.45027033,61.1063507,14.42307692,1.371781423,0.013355751,38.4486399,61.1063507
26,8.164554546,60.75766938,4.807692308,1.314637307,1.30753834,53.20400709,60.75766938
20,9.480923085,111.3124838,13.51351351,1.270778655,3.351372822,62.78780124,120.1612508
39,13.08803715,118.9139452,9.615384615,1.063812957,1.352937701,65.66068247,132.2445554
4,7.888159637,69.56776993,8.333333333,1.00159092,0.433999469,32.0145976,69.56776993
13,7.574522499,79.04588176,9.615384615,0.882540021,0.668227678,50.96717758,79.04588176
25,8.336969649,59.8370985,6.172839506,0.879036185,0.878374556,39.83795865,70.32461291
28,7.716744661,96.57589859,12.09677419,0.494719348,0.657252792,43.03685361,96.59328491
37,20.97356277,130.1827371,15.30612245,0.433721472,1.366161482,29.56517414,198.268826
14,18.49831322,112.6259934,16.94915254,0.366591701,0.840441822,48.64031965,232.6916111
40,6.585794823,70.9530248,14.70588235,0.351503016,0.056633118,50.36878001,70.9530248
29,9.895977565,80.34314156,14.1509434,0.283134801,0.509333451,44.94133624,80.34314156
0,7.876831249,93.46387497,25.51020408,0.269946897,1.454871302,53.74095606,93.46387497
9,6.409121152,72.00749342,19.23076923,0.258275466,0.556777257,41.98761792,72.00749342
49,7.950111654,69.49336258,9.803921569,0.103984751,0.3761764,53.12762115,69.49336258
2,7.541272554,73.25057575,6.944444444,0.077449076,0.673554814,46.5574683,79.42851407
12,8.720461771,74.19610153,11.46788991,0.074992669,1.070595717,34.13191828,129.0134855
24,7.459930722,97.56662283,9.259259259,0.054762721,1.108483132,61.77687182,97.56662283
