,tailamplitude_max,tailvigour,tailfreq_mean,tailcurvature_distal,tailcurvature_proximal,tailvigour60,tailvigour_alltrial
0,30.1529859223,215.312042543,7.97872340426,25.8924770612,15.211496412,143.559952077,253.643410223
1,25.5976405627,237.803823331,16.1290322581,28.0710773944,21.9371779805,63.9535641414,278.043597364
2,23.0887625323,100.833272964,9.61538461538,8.81313896278,4.86818433734,73.6838252662,100.833272964
3,18.5101130054,172.337460196,16.0256410256,13.281915545,6.31388454634,81.5189622469,197.267016465
4,67.609888852,552.074267404,15.625,23.7953217889,9.13883961481,77.558569164,620.813210893
5,65.5786794088,436.756555909,20.1149425287,8.80045976652,12.9671456566,103.400519084,467.19366984
6,20.0575365721,213.305926968,16.1290322581,15.8829228498,13.5547882282,78.9409187755,267.700691758
7,44.2442042395,294.529786923,19.2307692308,13.3466494332,20.9934049371,106.956063655,375.618377456
8,47.4493582463,347.549727127,16.1290322581,0.969180092286,0.00250071836154,100.257658078,397.007230281
9,43.8806013741,320.138541335,19.4444444444,15.6025360645,23.3372996509,105.343083967,360.840566914
10,65.9390779203,546.039853418,16.6666666667,35.1729294753,24.7176796193,183.525758822,721.899536426
11,32.9953994153,354.768374383,12.5,26.6089970989,17.0520929593,139.453395446,449.67262064
12,36.349263397,282.615126469,14.2857142857,21.043007479,12.1859698152,102.263684338,433.828733618
13,47.9227376389,389.284990541,25.0,20.7357174709,31.4165823372,153.852975013,437.306501581
14,58.0260652074,444.315925178,11.7924528302,37.2471255663,16.641717288,150.063191715,575.316746565
15,50.707116953,381.825808185,13.0208333333,19.1407554842,25.4154310762,103.121249929,451.675155879
16,76.3292993877,465.706421032,17.5,24.7114267243,22.1367845099,124.959821461,547.261313506
17,40.6920193188,345.253998856,21.4285714286,20.566159692,18.068689093,115.693852598,440.070082789
18,35.1196060137,359.877084112,19.2307692308,33.31556107,17.2928577922,165.516520297,407.601956663
19,81.0388817317,595.055222471,12.6262626263,26.526716878,29.9677048416,157.751577394,680.874342217
20,65.7730974718,541.708280251,17.3267326733,32.0866078519,17.0657382278,148.770742664,645.925076064
21,63.3635733337,511.980457807,18.0412371134,25.0226313741,5.74525136789,112.98489286,560.590693085
22,19.1204287399,170.684666612,20.8333333333,13.5460143477,20.4098837895,73.6446990333,212.463050981
23,55.6105757437,607.751604741,18.4210526316,32.839114073,15.6746388192,168.958300386,686.06216393
24,92.576985699,571.751317263,15.0,22.8718724996,19.6594050938,141.968842778,671.664040204
25,110.809958825,671.838705828,18.1818181818,33.6417796,24.0553330671,144.241746072,832.348328272
26,48.4558794646,390.598677347,20.202020202,34.4532027306,20.6022827867,177.894795359,452.778094424
27,26.2907573681,193.9648934,20.5882352941,21.8585415776,26.3748377697,124.092372836,218.37785777
28,45.0633957782,366.475878479,12.5,31.7631496825,19.1529501488,143.943157711,428.439559152
29,42.2142334418,313.122937505,7.5,29.4316611596,26.39134058,177.808301733,357.526647257
30,45.7656564782,654.28420379,33.3333333333,23.0101343185,26.7627951324,108.482155253,718.781520042
31,127.573500117,1057.11052048,22.2772277228,19.6933174373,4.37447940944,105.249628773,1105.85502793
32,174.436747431,794.675754002,15.4320987654,12.9167436638,17.985243171,709.288582957,805.9914506
33,17.1084322532,105.205688105,9.61538461538,1.1808075854,0.863376989645,68.7905686185,105.205688105
34,64.8873543541,358.687258539,12.5,19.333561652,14.058454691,107.85062036,439.78363907
35,106.034646183,673.451061284,20.0892857143,23.6453138733,30.4642375773,167.050841281,817.787824753
36,36.5483253259,248.748761967,13.5869565217,22.0032080407,20.6677095942,84.2266187653,351.384006151
37,40.8686055781,247.535112519,20.1149425287,8.55974496328,17.2947556408,68.7060235556,279.883410651
38,51.9302473624,367.284559065,14.2857142857,18.9743236148,15.2992427754,96.8755969861,428.967913168
39,22.9763934756,130.691069995,9.61538461538,4.93341932194,0.530367156265,73.4317210464,130.691069995
40,82.1224605225,532.27858653,14.0449438202,23.1001953405,21.7652830332,119.658166961,556.836943428
41,28.3200138799,273.588589784,20.1612903226,19.0706920206,25.675609101,140.424747347,458.848958005
42,31.4598897956,340.407802747,14.8514851485,28.8956211366,11.1552877995,145.712268665,417.721650871
43,102.976555911,679.591472523,16.8269230769,26.8104049333,19.9142025116,124.671259342,777.956748002
44,112.754371819,772.315637447,17.8571428571,36.5316925832,27.3737847664,136.734408165,862.992988468
45,39.2133128179,226.522600283,12.0192307692,1.29608336836,11.9679967871,154.065108017,294.471976714
46,63.7877028091,397.571023407,17.6991150442,26.7785525599,15.6604924593,96.7078117569,554.478817077
47,80.8500163588,650.98644983,19.0476190476,41.6082487565,22.9470195461,193.55148832,772.365505696
48,51.5249271978,503.576943208,21.8446601942,40.6087638941,25.6086514437,184.429616905,589.587325103
49,75.1885136521,557.400013412,20.4918032787,35.2586377714,22.0778270516,180.794502668,953.602273805
