,tailfreq_mean,tailamplitude_max,tailamplitude_mean,boutduration,tailasymmetry,tailvigour
0,7.97872340426,30.1529859223,6.48314509955,0.188,0.882978723404,215.312042543
1,16.1290322581,25.5976405627,-4.99050965226,0.186,0.225806451613,237.803823331
2,9.61538461538,23.0887625323,-7.31952015994,0.104,0.0,100.833272964
3,16.0256410256,18.5101130054,1.89043693548,0.156,0.589743589744,172.337460196
4,15.625,67.609888852,6.32264868199,0.192,0.364583333333,552.074267404
5,20.1149425287,65.5786794088,-7.13331333822,0.174,0.218390804598,436.756555909
6,16.1290322581,20.0575365721,-1.6311634591,0.186,0.451612903226,213.305926968
7,19.2307692308,44.2442042395,-5.57307273337,0.208,0.288461538462,294.529786923
8,16.1290322581,47.4493582463,-5.66325004337,0.186,0.52688172043,347.549727127
9,19.4444444444,43.8806013741,4.46371951888,0.18,0.577777777778,320.138541335
10,16.6666666667,65.9390779203,8.0887754006,0.21,0.628571428571,546.039853418
11,12.5,32.9953994153,-0.666142548497,0.2,0.55,354.768374383
12,14.2857142857,36.349263397,-1.62187537065,0.21,0.371428571429,282.615126469
13,25.0,47.9227376389,5.56445597476,0.18,0.766666666667,389.284990541
14,11.7924528302,58.0260652074,7.08576778903,0.212,0.716981132075,444.315925178
15,13.0208333333,50.707116953,-5.46638107868,0.192,0.28125,381.825808185
16,17.5,76.3292993877,10.8231712341,0.2,0.76,465.706421032
17,21.4285714286,40.6920193188,6.64530332286,0.21,0.847619047619,345.253998856
18,19.2307692308,35.1196060137,1.1167942693,0.182,0.549450549451,359.877084112
19,12.6262626263,81.0388817317,7.47258363124,0.198,0.454545454545,595.055222471
20,17.3267326733,65.7730974718,5.45158974243,0.202,0.742574257426,541.708280251
21,18.0412371134,63.3635733337,7.57622722626,0.194,0.659793814433,511.980457807
22,20.8333333333,19.1204287399,4.59679647116,0.192,0.885416666667,170.684666612
23,18.4210526316,55.6105757437,-3.10493548931,0.19,0.263157894737,607.751604741
24,15.0,92.576985699,-9.62494100491,0.2,0.57,571.751317263
25,18.1818181818,110.809958825,-12.1272330996,0.22,0.518181818182,671.838705828
26,20.202020202,48.4558794646,5.43223576085,0.198,0.818181818182,390.598677347
27,20.5882352941,26.2907573681,1.61893045075,0.17,0.694117647059,193.9648934
28,12.5,45.0633957782,8.5687396737,0.2,0.82,366.475878479
29,7.5,42.2142334418,4.73426792582,0.2,0.84,313.122937505
30,33.3333333333,45.7656564782,3.03290077243,0.21,0.628571428571,654.28420379
31,22.2772277228,127.573500117,-9.15409841957,0.202,0.128712871287,1057.11052048
32,15.4320987654,174.436747431,3.51651882864,0.162,0.432098765432,794.675754002
33,9.61538461538,17.1084322532,-3.03158850478,0.104,0.288461538462,105.205688105
34,12.5,64.8873543541,5.49962139787,0.2,0.42,358.687258539
35,20.0892857143,106.034646183,-12.2708164083,0.224,0.232142857143,673.451061284
36,13.5869565217,36.5483253259,4.5564606587,0.184,0.608695652174,248.748761967
37,20.1149425287,40.8686055781,6.19591732909,0.174,0.632183908046,247.535112519
38,14.2857142857,51.9302473624,7.01400465405,0.21,0.790476190476,367.284559065
39,9.61538461538,22.9763934756,-3.12326600399,0.104,0.557692307692,130.691069995
40,14.0449438202,82.1224605225,-6.22922207171,0.178,0.696629213483,532.27858653
41,20.1612903226,28.3200138799,-2.1634369799,0.248,0.298387096774,273.588589784
42,14.8514851485,31.4598897956,0.462826153313,0.202,0.277227722772,340.407802747
43,16.8269230769,102.976555911,-10.121457149,0.208,0.461538461538,679.591472523
44,17.8571428571,112.754371819,-13.5586384816,0.196,0.15306122449,772.315637447
45,12.0192307692,39.2133128179,3.00463954114,0.208,0.903846153846,226.522600283
46,17.6991150442,63.7877028091,-6.66862714938,0.226,0.495575221239,397.571023407
47,19.0476190476,80.8500163588,-6.79215713876,0.21,0.485714285714,650.98644983
48,21.8446601942,51.5249271978,-5.37634192895,0.206,0.407766990291,503.576943208
49,20.4918032787,75.1885136521,4.77849917355,0.244,0.565573770492,557.400013412
